"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"Unalloc_7_21156352_1059058176"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"1021030400"	"0"	"null"	"unknown"	"r---------"	"/img_evidence.E01/vol_vol2/$Unalloc/Unalloc_7_21156352_1059058176"
"Unalloc_3_0_512"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"512"	"0"	"null"	"unknown"	"r---------"	"/img_evidence.E01/vol_vol1/Unalloc_3_0_512"
"$AttrDef"	""	"r"	""	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"2560"	"4"	"ad617ac3906958de35eacc3d90d31043"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$AttrDef"
"$AttrDef-slack"	""	"r"	""	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"1536"	"4"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$AttrDef-slack"
"$BadClus"	""	"r"	""	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"0"	"8"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$BadClus"
"$BadClus:$Bad"	""	"r"	""	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"1059057664"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$BadClus:$Bad"
"$BadClus:$Bad-slack"	""	"r"	""	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"1059057664"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$BadClus:$Bad-slack"
"$Bitmap"	""	"r"	""	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"32320"	"6"	"5954b088d54dd1547fc7db719fc8a6d5"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Bitmap"
"$Bitmap-slack"	""	"r"	""	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"448"	"6"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Bitmap-slack"
"$Boot"	""	"r"	""	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"8192"	"7"	"d247e5e01be78d9fcc42adf3055cda08"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Boot"
